"alpha","gamma","initRabbits","initFoxes","meansteps","hash"
"0.01","0.01","10","10","1040.1","0.01-0.01-10-10"
"0.01","0.01","10","100","195.7","0.01-0.01-10-100"
"0.01","0.01","10","20","617.5","0.01-0.01-10-20"
"0.01","0.01","10","30","661.5","0.01-0.01-10-30"
"0.01","0.01","10","40","442.7","0.01-0.01-10-40"
"0.01","0.01","10","50","497.5","0.01-0.01-10-50"
"0.01","0.01","10","60","151.3","0.01-0.01-10-60"
"0.01","0.01","10","70","74.8","0.01-0.01-10-70"
"0.01","0.01","10","80","131.9","0.01-0.01-10-80"
"0.01","0.01","10","90","68.5","0.01-0.01-10-90"
"0.01","0.01","100","10","137.7","0.01-0.01-100-10"
"0.01","0.01","100","100","57.7","0.01-0.01-100-100"
"0.01","0.01","100","20","317.6","0.01-0.01-100-20"
"0.01","0.01","100","30","189.5","0.01-0.01-100-30"
"0.01","0.01","100","40","103.5","0.01-0.01-100-40"
"0.01","0.01","100","50","79.2","0.01-0.01-100-50"
"0.01","0.01","100","60","82.7","0.01-0.01-100-60"
"0.01","0.01","100","70","69.5","0.01-0.01-100-70"
"0.01","0.01","100","80","55.3","0.01-0.01-100-80"
"0.01","0.01","100","90","66.6","0.01-0.01-100-90"
"0.01","0.01","20","10","974.9","0.01-0.01-20-10"
"0.01","0.01","20","100","50.5","0.01-0.01-20-100"
"0.01","0.01","20","20","903.5","0.01-0.01-20-20"
"0.01","0.01","20","30","842.7","0.01-0.01-20-30"
"0.01","0.01","20","40","541.3","0.01-0.01-20-40"
"0.01","0.01","20","50","520.2","0.01-0.01-20-50"
"0.01","0.01","20","60","365.1","0.01-0.01-20-60"
"0.01","0.01","20","70","144.2","0.01-0.01-20-70"
"0.01","0.01","20","80","205.1","0.01-0.01-20-80"
"0.01","0.01","20","90","160.7","0.01-0.01-20-90"
"0.01","0.01","30","10","1197.8","0.01-0.01-30-10"
"0.01","0.01","30","100","70.5","0.01-0.01-30-100"
"0.01","0.01","30","20","581.7","0.01-0.01-30-20"
"0.01","0.01","30","30","705.3","0.01-0.01-30-30"
"0.01","0.01","30","40","459.3","0.01-0.01-30-40"
"0.01","0.01","30","50","407.6","0.01-0.01-30-50"
"0.01","0.01","30","60","334.4","0.01-0.01-30-60"
"0.01","0.01","30","70","96.8","0.01-0.01-30-70"
"0.01","0.01","30","80","701.1","0.01-0.01-30-80"
"0.01","0.01","30","90","335.0","0.01-0.01-30-90"
"0.01","0.01","40","10","837.8","0.01-0.01-40-10"
"0.01","0.01","40","100","67.6","0.01-0.01-40-100"
"0.01","0.01","40","20","563.1","0.01-0.01-40-20"
"0.01","0.01","40","30","386.9","0.01-0.01-40-30"
"0.01","0.01","40","40","260.5","0.01-0.01-40-40"
"0.01","0.01","40","50","566.4","0.01-0.01-40-50"
"0.01","0.01","40","60","399.9","0.01-0.01-40-60"
"0.01","0.01","40","70","233.5","0.01-0.01-40-70"
"0.01","0.01","40","80","144.9","0.01-0.01-40-80"
"0.01","0.01","40","90","59.9","0.01-0.01-40-90"
"0.01","0.01","50","10","791.5","0.01-0.01-50-10"
"0.01","0.01","50","100","61.2","0.01-0.01-50-100"
"0.01","0.01","50","20","483.5","0.01-0.01-50-20"
"0.01","0.01","50","30","191.0","0.01-0.01-50-30"
"0.01","0.01","50","40","156.1","0.01-0.01-50-40"
"0.01","0.01","50","50","207.3","0.01-0.01-50-50"
"0.01","0.01","50","60","191.3","0.01-0.01-50-60"
"0.01","0.01","50","70","92.0","0.01-0.01-50-70"
"0.01","0.01","50","80","72.1","0.01-0.01-50-80"
"0.01","0.01","50","90","68.0","0.01-0.01-50-90"
"0.01","0.01","60","10","327.9","0.01-0.01-60-10"
"0.01","0.01","60","100","139.2","0.01-0.01-60-100"
"0.01","0.01","60","20","254.3","0.01-0.01-60-20"
"0.01","0.01","60","30","429.7","0.01-0.01-60-30"
"0.01","0.01","60","40","242.5","0.01-0.01-60-40"
"0.01","0.01","60","50","104.4","0.01-0.01-60-50"
"0.01","0.01","60","60","98.9","0.01-0.01-60-60"
"0.01","0.01","60","70","123.9","0.01-0.01-60-70"
"0.01","0.01","60","80","119.7","0.01-0.01-60-80"
"0.01","0.01","60","90","69.5","0.01-0.01-60-90"
"0.01","0.01","70","10","182.6","0.01-0.01-70-10"
"0.01","0.01","70","100","65.7","0.01-0.01-70-100"
"0.01","0.01","70","20","239.9","0.01-0.01-70-20"
"0.01","0.01","70","30","135.5","0.01-0.01-70-30"
"0.01","0.01","70","40","271.8","0.01-0.01-70-40"
"0.01","0.01","70","50","107.1","0.01-0.01-70-50"
"0.01","0.01","70","60","91.6","0.01-0.01-70-60"
"0.01","0.01","70","70","81.2","0.01-0.01-70-70"
"0.01","0.01","70","80","94.8","0.01-0.01-70-80"
"0.01","0.01","70","90","63.7","0.01-0.01-70-90"
"0.01","0.01","80","10","328.4","0.01-0.01-80-10"
"0.01","0.01","80","100","59.3","0.01-0.01-80-100"
"0.01","0.01","80","20","265.1","0.01-0.01-80-20"
"0.01","0.01","80","30","319.1","0.01-0.01-80-30"
"0.01","0.01","80","40","159.2","0.01-0.01-80-40"
"0.01","0.01","80","50","99.5","0.01-0.01-80-50"
"0.01","0.01","80","60","86.2","0.01-0.01-80-60"
"0.01","0.01","80","70","73.5","0.01-0.01-80-70"
"0.01","0.01","80","80","75.6","0.01-0.01-80-80"
"0.01","0.01","80","90","64.0","0.01-0.01-80-90"
"0.01","0.01","90","10","130.2","0.01-0.01-90-10"
"0.01","0.01","90","100","57.2","0.01-0.01-90-100"
"0.01","0.01","90","20","216.9","0.01-0.01-90-20"
"0.01","0.01","90","30","111.8","0.01-0.01-90-30"
"0.01","0.01","90","40","118.1","0.01-0.01-90-40"
"0.01","0.01","90","50","96.8","0.01-0.01-90-50"
"0.01","0.01","90","60","218.3","0.01-0.01-90-60"
"0.01","0.01","90","70","61.0","0.01-0.01-90-70"
"0.01","0.01","90","80","64.2","0.01-0.01-90-80"
"0.01","0.01","90","90","57.4","0.01-0.01-90-90"
"0.01","0.02","10","10","800.1","0.01-0.02-10-10"
"0.01","0.02","10","100","239.9","0.01-0.02-10-100"
"0.01","0.02","10","20","655.6","0.01-0.02-10-20"
"0.01","0.02","10","30","526.5","0.01-0.02-10-30"
"0.01","0.02","10","40","428.1","0.01-0.02-10-40"
"0.01","0.02","10","50","402.6","0.01-0.02-10-50"
"0.01","0.02","10","60","256.8","0.01-0.02-10-60"
"0.01","0.02","10","70","376.9","0.01-0.02-10-70"
"0.01","0.02","10","80","192.0","0.01-0.02-10-80"
"0.01","0.02","10","90","128.9","0.01-0.02-10-90"
"0.01","0.02","100","10","504.2","0.01-0.02-100-10"
"0.01","0.02","100","100","130.1","0.01-0.02-100-100"
"0.01","0.02","100","20","434.2","0.01-0.02-100-20"
"0.01","0.02","100","30","498.5","0.01-0.02-100-30"
"0.01","0.02","100","40","239.0","0.01-0.02-100-40"
"0.01","0.02","100","50","214.0","0.01-0.02-100-50"
"0.01","0.02","100","60","144.1","0.01-0.02-100-60"
